noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,,65/141/2026,works,,Sanierung Lessingstraße 1 Zwickau,,,Sanierung Lessingstraße 1 Zwickau
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,LOT-0001,LOT-0001,works,,Los 315 – Tischlerarbeiten VI – Innenbrandschutzfenster/-türen,,,"Beim Gebäudekomplex Lessingstraße 1
in 08058 Zwickau wird der Brandschutz
verbessert, die technische Gebäudeausrüstung
erneuert und die Gebäudehülle saniert. Die
Arbeiten im hier ausgeschriebenen Los 315 – Tischlerarbeiten VI – Innenbrandschutzfenster/-türen umfassen u.a.:
Herstellung und Montage Brandschutzfenster F90, innen, 7 Stück Herstellung und Montage Brandschutztüren F30, innen 8 Stück
Herstellung und Montage einer Objekttür, innen 1 stück
Herstellung Schutz der Brandschutzfenster/-türen 20,50 m²
Ausbau Bestands-Holztüren und Vertragen in den vorhandenen Materialcontainer
vor Ort , auf Baustelle 6 Stück
Einbauteile für EMA und RWS Radarmelder 6 Stück
Fingerklemmschutz 6 Stück
Fluchttüröffner 3 Stück
Funkrauchmelder 9 Stück
Sensorleisten 6 Stück
Sicherheitssensor 6 Stück
Magnetkontakt 8 Stück
Riegelkontakt 8 Stück
Drehflügelantrieb 2 Stück
Integrierter Gleitschienentürschließer, 1-flügelig 2 Stück
Fluchttüröffner 4 Stück
Gegenstück Fluchttüröffner 4 stück
Einsteckschloss Feuer- /Rauchschutztüren 9 Stück"
