noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,,Zwickau,08058,DED45,DEU
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,LOT-0001,Zwickau,08058,DED45,DEU
