noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,"Stadtverwaltung Zwickau, Liegenschafts- und
Hochbauamt",keine,Zwickau,08056,DED45,DEU,https://www.zwickau.de,,buyer,,kommun-beh,,,,
01a0a39a-b1ce-41e2-a40e-d2a19840eef3,01,"1.Vergabekammer des Freistaates Sachsen bei
der Landesdirektion Sachsen",keine,Leipzig,04107,DED52,DEU,,,reviewer,,,,,,
