noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
25723776,3,,,,,Bau LSW Neukieritzsch,,,"Bauleistungen zur Errichtung von drei Lärmschutzwänden (LSW 1?3) im Bereich Neukieritzsch an den Strecken 6362 und 6385 im Rahmen des Lärmsanierungsprogramms an bestehenden Schienenwegen des Bundes ? Vergabe in einem Gesamtlos.

Bau LSW Neukieritzsch"
25723776,3,LOT-0000,,,,Bau LSW Neukieritzsch,,,"Bauleistungen zur Errichtung von drei Lärmschutzwänden (LSW 1?3) im Bereich Neukieritzsch an den Strecken 6362 und 6385 im Rahmen des Lärmsanierungsprogramms an bestehenden Schienenwegen des Bundes ? Vergabe in einem Gesamtlos.

Bau LSW Neukieritzsch"
