noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25723776,3,,04575 Neukieritzsch,,DED,DEU
25723776,3,LOT-0000,04575 Neukieritzsch,,DED,DEU
