noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
0154f570-03d0-4766-90ab-501c3e9c9727,01,,cpv,45213331,"45213250,45300000,71240000",
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,cpv,45213331,"45213250,45300000,71240000",
