noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
0154f570-03d0-4766-90ab-501c3e9c9727,01,,München,85326,DE21B,DEU
0154f570-03d0-4766-90ab-501c3e9c9727,01,LOT-0001,München,85326,DE21B,DEU
