noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
0154f570-03d0-4766-90ab-501c3e9c9727,01,Flughafen München GmbH,DE129352365,München,85326,DE21B,DEU,https://www.munich-airport.de,,buyer,,,,,,
0154f570-03d0-4766-90ab-501c3e9c9727,01,Regierung von Oberbayern - Vergabekammer Südbayern,09-0318006-60,München,80534,DE212,DEU,,,reviewer,,,,,,
