noticeIdentifier,noticeVersion,organisationName,organisationIdentifier,organisationCity,organisationPostCode,organisationCountrySubdivision,organisationCountryCode,organisationInternetAddress,organisationNaturalPerson,organisationRole,buyerProfileURL,buyerLegalType,buyerContractingEntity,winnerSize,winnerOwnerNationality,winnerListed
01a0a444-1c07-471e-b755-941f4becd2ee,01,Sächsische Binnenhäfen Oberelbe GmbH,Ust-ID: DE140300361,Dresden,01067,DED21,DEU,,,buyer,,,,,,
01a0a444-1c07-471e-b755-941f4becd2ee,01,LISt Gesellschaft für Verkehrswesen und ingenieurtechnische Dienstleistungen mbH,14-0706002LASUV07-27,Hainichen,09661,DED43,DEU,,,,,,,,,
01a0a444-1c07-471e-b755-941f4becd2ee,01,1. Vergabekammer des Freistaates Sachsen bei der Landesdirektion Sachsen,DE287064009,Leipzig,04107,DED51,DEU,https://www.lds.sachsen.de,,reviewer,,,,,,
