noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
01a0a444-1c07-471e-b755-941f4becd2ee,01,,cpv,42414000,"45241000,45223100",
01a0a444-1c07-471e-b755-941f4becd2ee,01,LOT-0001,cpv,42414000,"45241000,45223100",
