noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
01a0a444-1c07-471e-b755-941f4becd2ee,01,,Riesa,01591,DED2E,DEU
01a0a444-1c07-471e-b755-941f4becd2ee,01,LOT-0001,Riesa,01591,DED2E,DEU
