noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
01a0a444-1c07-471e-b755-941f4becd2ee,01,,LDL-26-048-SBO,supplies,,"Neubau eines KV-Terminals im Hafen Riesa, Alter Hafen - Los 6 - Umschlagtechnik",,,"Neubau eines KV-Terminals im Hafen Riesa, Alter Hafen - Los 6 - Umschlagtechnik"
01a0a444-1c07-471e-b755-941f4becd2ee,01,LOT-0001,LOT-0001,supplies,,Los 6 - Umschlagtechnik,,,"Das Gesamtprojekt umfasst den Neubau eines KV-Terminals im Hafen Riesa. Das geplante trimodale KV-Terminal (Terminal für den Kombinierten Verkehr) dient dem Umschlag von Container-Ladeeinheiten zwischen den Verkehrsträgern Straße, Schiene, Wasserstraße mit einer Kapazität von bis zu 100.000 TEU/a. Bei der vorliegenden Ausschreibung handelt es sich um die Planung sowie Lieferung und Montage von 2 Portalkränen.
Pauschalvertrag mit funktionaler Leistungsbeschreibung.
Beschreibung der Leistungen nach Art und Umfang:
-	Ausführungsplanung und statische Berechnung für den Portalkran; -	Lieferung und Aufbau von 2 Containervollportalkränen; -	Baustelleneinrichtung und -sicherung; -	Verkehrssicherung.
Weitere Angaben gemäß Leistungsbeschreibung in den Vergabeunterlagen."
