noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,,,,DEA11,DEU
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,LOT-0001,,,DEA11,DEU
