noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,,cpv,45000000,"45210000,71240000,71300000,71221000,45215100,45213312,45216110",
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,LOT-0001,cpv,45000000,"45210000,71240000,71300000,71221000,45215100,45213312,45216110",
