noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
25659566,4,,,,,Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800,,,"Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800

Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800"
25659566,4,LOT-0000,,,,Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800,,,"Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800

Gleis und Weichenerneuerung Bodenwöhr Strecke; 5800"
