noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25659566,4,,92439 Bodenwöhr,,DE2,DEU
25659566,4,LOT-0000,92439 Bodenwöhr,,DE2,DEU
