noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,,cpv,45000000,"43000000,44000000,71000000",
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,LOT-0000,cpv,45000000,"43000000,44000000,71000000",
