noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,,,,,
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,LOT-0000,,,,
