noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,,OB2-V-2026-74,works,,"KGA "" Am Stadtgraben"" in 06886 Luth. Wittenberg - Rückbau Gartenparzelle Nr. 2 - Rückbauarbeiten",,,"Kleingartenanlage „Am Stadtgraben“
Rückbau Gartenparzelle 2
Art und Umfang
Rückbau Bestandsgebäude, ca. 100m³ umbauter Raum, gefährliche Abfälle
Nachweis der Sach- und Fachkunde TRGS 521 und 524 1 Stk.
Entsiegelung Außenflächen, Beton, Betonplatten, Betonborde ca. 500m²
Erdarbeiten, Lieferung und Profilierung Oberboden ca. 30to
Ausführung:
Siehe Vergabevermerk"
200ff04c-a468-4b9e-bd0f-b1b7643c3f77,1,LOT-0000,OB2-V-2026-74,,,"KGA "" Am Stadtgraben"" in 06886 Luth. Wittenberg - Rückbau Gartenparzelle Nr. 2 - Rückbauarbeiten",,,"Kleingartenanlage „Am Stadtgraben“
Rückbau Gartenparzelle 2
Art und Umfang
Rückbau Bestandsgebäude, ca. 100m³ umbauter Raum, gefährliche Abfälle
Nachweis der Sach- und Fachkunde TRGS 521 und 524 1 Stk.
Entsiegelung Außenflächen, Beton, Betonplatten, Betonborde ca. 500m²
Erdarbeiten, Lieferung und Profilierung Oberboden ca. 30to
Ausführung:
Siehe Vergabevermerk"
