noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,,V0540/2026,works,,Wärmedämmverbundsystem (WDVS),,,Wärmedämmverbundsystem
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,LOT-0000,works,,Wärmedämmverbundsystem (WDVS),,,"930 m² Untergrund reinigen
965 m² Altsystem WDVS zurückbauen
240 m Alu-Fensterbänke demontieren und entsorgen
ca. 200 m² Sockeldämmplatten anbringen
ca. 200 m² Siliconharz-Fassadenfarbe auftragen
ca. 1.400 m² Mineralwolle im System anbringen"
