noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,,Bremen,28779,DE501,DEU
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,Bremen,28779,DE501,DEU
