noticeIdentifier,noticeVersion,lotIdentifier,classificationType,mainClassificationCode,additionalClassificationCodes,options
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,,cpv,45000000,,
005970e4-fa83-4d72-b88d-6b8acfe47c4a,01,LOT-0000,cpv,45000000,,
