noticeIdentifier,noticeVersion,lotIdentifier,internalIdentifier,mainNature,additionalNature,title,estimatedValue,estimatedValueCurrency,description
25719552,1,,,,,VB_27_GE_ GOS Winden-Grenze Frankreich,,,"27_Winden-Grenze Frankreich
3.620 m Gleiserneuerung ohne Schiene maschinell, 312 m Gleiserneuerung ohne Schiene konventionell, 31,3 m Planumsverbesserung mit vollständiger Bettungserneuerung (konventionell), Bettungsreinigung (maschinell). einschl. Sicherungsleistungen (Verbundvergabe) und IH-Arbeiten

VB_27_GE_ GOS Winden-Grenze Frankreich"
25719552,1,LOT-0000,,,,VB_27_GE_ GOS Winden-Grenze Frankreich,,,"27_Winden-Grenze Frankreich
3.620 m Gleiserneuerung ohne Schiene maschinell, 312 m Gleiserneuerung ohne Schiene konventionell, 31,3 m Planumsverbesserung mit vollständiger Bettungserneuerung (konventionell), Bettungsreinigung (maschinell). einschl. Sicherungsleistungen (Verbundvergabe) und IH-Arbeiten

VB_27_GE_ GOS Winden-Grenze Frankreich"
