noticeIdentifier,noticeVersion,lotIdentifier,placePerformanceCity,placePerformancePostCode,placePerformanceCountrySubdivision,placePerformanceCountryCode
25719552,1,,76872 Winden,,DEB,DEU
25719552,1,LOT-0000,76872 Winden,,DEB,DEU
